2026-02-04 19:09:05 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:05 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:06 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:06 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:07 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:07 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:08 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:08 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:09 | 127.0.0.1 | AUTH_FAIL | Failed password for admin from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user1 from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user2 from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user3 from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user4 from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user5 from 10.0.0.5
2026-02-04 19:09:35 | 127.0.0.1 | AUTH_FAIL | Failed password for user6 from 10.0.0.5
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:44 | 127.0.0.1 | GENERAL | Connection attempt from 192.168.1.50
2026-02-04 19:09:53 | 127.0.0.1 | FIREWALL | Firewall disabled by administrator
2026-02-04 19:10:00 | 127.0.0.1 | AUTH_SUCCESS | Accepted password for root from 10.0.0.5
